"dataset"	"p"	"q"	"gamma"	"beta"	"beta_corrected"	"R0"	"R0_corrected"	"gamma_bayes_mean"	"gamma_bayes_median"	"beta_bayes_mean"	"beta_bayes_median"	"R0_bayes_mean"	"R0_bayes_median"
1	0.4	0	0.0489439609701141	0.180420468746453	0.105317207636626	3.68626619444676	4.29767813722982	0.0489439609701141	0.0489439609701141	0.204126385242522	0.198935212561195	4.17061433518152	4.06455073553748
1	0.4	0.2	0.0508269428583259	0.174961949764928	0.153939503482804	3.44230716871195	3.89271573866268	0.0508269428583259	0.0508269428583259	0.187233269404909	0.181846564006689	3.68374052963996	3.57775923123224
1	0.4	0.4	0.0561555803132884	0.233778428937401	0.244128540189187	4.16304893713439	5.58402372054715	0.0561555803132884	0.0561555803132884	0.226125506875263	0.219185748594547	4.0267682323595	3.9031873123156
1	0.4	0.6	0.050423791231792	0.160383522900831	0.158339592213668	3.18071130676325	3.9626620563628	0.050423791231792	0.050423791231792	0.208594749001097	0.201517913428614	4.13683191813588	3.99648476454815
1	0.4	0.8	0.049018685852706	0.149863802298245	0.142184006693892	3.05727907003798	3.81764146757864	0.049018685852706	0.049018685852706	0.187680457243765	0.184405057066334	3.82875334128126	3.7619339208816
1	0.4	1	0.0520562812826033	0.158540494467838	0.180208009105676	3.04555935540522	3.93172098336793	0.0520562812826033	0.0520562812826033	0.192153387880491	0.186509048754793	3.69126228662643	3.58283465817069
1	0.6	0	0.0527716369367634	0.235215950659016	0.225506913045155	4.45724188811648	5.73867281813257	0.0527716369367634	0.0527716369367634	0.22024527461371	0.209305674145258	4.17355396569622	3.96625320522217
1	0.6	0.2	0.0490606416753371	0.175591716085775	0.183760574088333	3.57907499962532	4.24386051079735	0.0490606416753371	0.0490606416753371	0.193492442271968	0.181612122987837	3.94394438524511	3.70178857809628
1	0.6	0.4	0.0500976777088448	0.163478885976668	0.151663361828907	3.26320287592505	3.67938796334602	0.0500976777088448	0.0500976777088448	0.18060225859605	0.174267843403739	3.60500260402618	3.47856131009785
1	0.6	0.6	0.0540561901102048	0.203015472700462	0.226900208609258	3.7556378332726	4.8168443653096	0.0540561901102048	0.0540561901102048	0.208386337703832	0.203207559904811	3.85499490953752	3.75919130613034
1	0.6	0.8	0.0510513944579955	0.159356533668181	0.175931221478036	3.12149227969273	3.8186484450865	0.0510513944579955	0.0510513944579955	0.187664769497027	0.183638589405247	3.67599693386309	3.59713170139441
