"beta"	"gamma"	"sample_size"	"not_beta"	"not_gamma"	"not_r0"	"jitter_beta"	"jitter_gamma"	"jitter_r0"
0.2	0.05	192	0.194698164601509	0.0525314878616069	3.70631353740518	0.196244055565984	0.0526505660069808	3.72729241960978
0.2	0.1	156	0.206960391619518	0.102042974537109	2.02816894115778	0.208129412666393	0.102600526263235	2.02854137543515
0.2	0.2	26	0.201606316941488	0.192892455344011	1.04517471449019	0.203180379737917	0.194208566407449	1.04619679500463
0.3	0.05	200	0.285823123734012	0.0465986468178603	6.13372154026718	0.284485624327899	0.0465631703752779	6.10967041193878
0.3	0.1	187	0.278225008128899	0.109149531091338	2.54902614190871	0.277782404547733	0.10915240024589	2.54490422493658
0.3	0.2	121	0.30293154948429	0.198274364709881	1.52784022244906	0.302916911283151	0.19768010764344	1.53235909720126
0.4	0.05	200	0.441168921326801	0.0460165281110473	9.5871839844625	0.438522989842639	0.0459772383903842	9.53782795998362
0.4	0.1	198	0.432615155475863	0.0973196576725249	4.44530083461234	0.433205097715954	0.0975610809372928	4.44034745775722
0.4	0.2	148	0.381221423514161	0.198663513670583	1.91893023771989	0.37494692694657	0.196920483882857	1.90405243554864
0.5	0.05	200	0.509705070016132	0.0511067684025307	9.97333789531667	0.507891957788783	0.0512165981820904	9.91655002120747
0.5	0.1	197	0.476049452507734	0.103048907304428	4.61964580664	0.479742643173963	0.10282376040813	4.66567883988835
0.5	0.2	169	0.451551000291184	0.213488467166747	2.11510722936849	0.454378569261141	0.215075243404062	2.11264933178524
0.2	0.05	191	0.197054445550561	0.0541482228373096	3.63916736736899	0.197129297672791	0.0541877815720878	3.63789201096087
0.2	0.1	160	0.195977902333573	0.0944794103466543	2.07429218296887	0.198249262879982	0.0955940630460956	2.07386585068977
0.2	0.2	79	0.224476306444646	0.176210902843607	1.27390702176855	0.232156099221444	0.181707274070698	1.27763789539387
0.3	0.05	199	0.269720513429195	0.0506807526115072	5.32195161932056	0.270510323728868	0.0507769557727583	5.32742303298922
0.3	0.1	171	0.269523332244154	0.108808884399466	2.47703423972866	0.268929388483361	0.108551123436761	2.47744454381472
0.3	0.2	115	0.301553252525492	0.201648147238248	1.49544271373447	0.302806380618486	0.202489739300605	1.49541592410743
0.4	0.05	199	0.334149221105027	0.0571385944203604	5.84804761991062	0.333278707920599	0.0572889822070097	5.81750094139079
0.4	0.1	198	0.426796307090667	0.114087211932389	3.74096535327375	0.428680798669183	0.114825825384861	3.73331345307012
0.4	0.2	170	0.460042211835854	0.193686902510718	2.3751849292463	0.458856371150149	0.193570483371813	2.37048729308989
0.5	0.05	200	0.51704151039399	0.0522253890818603	9.90019451235791	0.518108758964595	0.0521414898775537	9.93659291633771
0.5	0.1	198	0.490774068782194	0.104516305100541	4.69566990825105	0.491868163330658	0.10494607295071	4.68686583024096
0.5	0.2	160	0.442322531761386	0.206700353372329	2.13992150736497	0.439113859419537	0.206196816454643	2.12958602838627
0.2	0.05	197	0.210650623480196	0.0460992238383625	4.5695047755858	0.208691509369393	0.0459072165324391	4.5459412513483
0.2	0.1	161	0.198589687589081	0.102321282247084	1.94084439940393	0.199109232733882	0.102353784095375	1.94530406954322
0.2	0.2	18	0.191121759911764	0.192622465369915	0.992209083944241	0.187425993475402	0.188971572231443	0.991821104424386
0.3	0.05	199	0.285142822439043	0.0478341693855846	5.96106979804637	0.284679877993114	0.0478626836324942	5.94784613790114
0.3	0.1	187	0.316768247160127	0.0971821670098176	3.25953060017818	0.317623538564655	0.0972443769468706	3.26624066642114
0.3	0.2	127	0.332442561845951	0.208454307992193	1.59479823203462	0.328648644564366	0.206076752423481	1.59478757647055
